id,name,city_orig,city,neighborhood,rating,rating_count,cost,,cuisine,,
86195,Mr Delivery,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 250,250,Indian,,
63890,Class Inn,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.7,20+ ratings,₹ 200,200,"North Indian,Chinese",,
560860,Gobblers Rolls & Bowls,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,5,20+ ratings,₹ 300,300,"North Indian,Chinese",,
113102,Hotel Suprabhat,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,500+ ratings,₹ 400,400,"South Indian,Chinese",,
293369,Italian Express,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.4,100+ ratings,₹ 350,350,"Italian,Mongolian",,
402599,Haldirams,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.3,500+ ratings,₹ 300,300,"Indian,Biryani",,
40314,Mini Punjab,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.5,500+ ratings,₹ 400,400,"South Indian,North Indian",,
115886,Oye Maggi Monks,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 250,250,Beverages,,
487950,Modern Fast Food,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 300,300,Chinese,,
160134,Masqati Ice Cream,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.3,100+ ratings,₹ 300,300,"Ice Cream,Pizzas",,
218184,Mini Punjab Famous Paratha Rolls,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 150,150,"North Indian,Chinese",,
297563,SLAY Coffee,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,50+ ratings,₹ 200,200,"Beverages,Desserts",,
97485,The Thick Shake Factory,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,100+ ratings,₹ 250,250,Beverages,,
22986,Lakshman Ki Bandi,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,100+ ratings,₹ 150,150,South Indian,,
55875,Hotel Azizia,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.7,100+ ratings,₹ 300,300,"North Indian,Biryani",,
55874,Sri Ganesh Tiffins,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 150,150,South Indian,,
94091,Nrs Mamatha Darshini,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.4,500+ ratings,₹ 150,150,"South Indian,Chinese",,
56840,Saini Fast Food,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.9,20+ ratings,₹ 300,300,"North Indian,Chinese",,
155530,Cup Cake House,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 150,150,Desserts,,
394473,Swiss Castle,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.5,100+ ratings,₹ 500,500,"Indian,Bakery",,
110742,Jalebiwalas Mithai Bhandar,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,50+ ratings,₹ 300,300,"Desserts,Bakery",,
16158,Royal Tiffin Centre,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.7,1K+ ratings,₹ 150,150,South Indian,,
6552,Mayur Pan House,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.2,500+ ratings,₹ 150,150,"Chaat,Paan",,
22959,Hameedi Confectioners,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.5,100+ ratings,₹ 300,300,Sweets,,
181941,SVM Grand,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,50+ ratings,₹ 300,300,"South Indian,North Indian",,
263841,Pure Veg Meals by Lunchbox,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.7,20+ ratings,₹ 200,200,"North Indian,Desserts",,
118745,McDonald's,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.2,1K+ ratings,₹ 400,400,"Burgers,Beverages",,
98489,Tasty Byte Hub,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.5,20+ ratings,₹ 250,250,"Chinese,Pizzas",,
110747,Hotel Mansingh,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.4,20+ ratings,₹ 250,250,"North Indian,South Indian",,
110748,Maharaja Tiffins & Chat,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 150,150,South Indian,,
146023,Eat Italy,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,100+ ratings,₹ 400,400,"Italian,American",,
204598,Swathi mess and dhaba,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,1K+ ratings,₹ 200,200,"Biryani,Chinese",,
115884,Sharmaji Pav bhaji,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.2,100+ ratings,₹ 200,200,"Chaat,North Indian",,
538659,Pista House Restaurant,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.3,100+ ratings,₹ 500,500,"Biryani,Tandoor",,
104872,Sri Jai Durga Restaurant,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.4,20+ ratings,₹ 300,300,"Biryani,Andhra",,
40376,Santosh Dhaba Jashan,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.2,500+ ratings,₹ 300,300,"North Indian,Chinese",,
296417,SHREE LALLA DHABA,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.9,100+ ratings,₹ 350,350,North Indian,,
520345,anmol swad,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 300,300,"South Indian,Indian",,
40378,New Santosh Dhaba,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.7,100+ ratings,₹ 300,300,"Chinese,North Indian",,
61931,Al Yousufain Fast Food,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,100+ ratings,₹ 300,300,Indian,,
233057,LunchBox - Meals and Thalis,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,100+ ratings,₹ 200,200,"North Indian,Punjabi",,
4138,Grand Hotel,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,10K+ ratings,₹ 300,300,"Biryani,Chinese",,
50249,Bombay Chowpati,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.6,50+ ratings,₹ 200,200,"Chaat,Juices",,
549274,Shyam Singh Chat Bhandar,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 100,100,"Chaat,Pizzas",,
547496,GRAND RESTURENT,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 500,500,"Sweets,Beverages",,
